Day,death_cnt,case_cnt,daily_death,daily_cases
2020-03-09,0.0,2.0,,
2020-03-10,0.0,3.0,0.0,1.0
2020-03-11,0.0,5.0,0.0,2.0
2020-03-12,0.0,9.0,0.0,4.0
2020-03-13,0.0,14.0,0.0,5.0
2020-03-14,0.0,21.0,0.0,7.0
2020-03-15,0.0,35.0,0.0,14.0
2020-03-16,0.0,54.0,0.0,19.0
2020-03-17,0.0,60.0,0.0,6.0
2020-03-18,0.0,77.0,0.0,17.0
2020-03-19,0.0,89.0,0.0,12.0
2020-03-20,0.0,115.0,0.0,26.0
2020-03-21,1.0,138.0,1.0,23.0
2020-03-22,1.0,169.0,0.0,31.0
2020-03-23,1.0,235.0,0.0,66.0
2020-03-24,1.0,262.0,0.0,27.0
2020-03-25,1.0,287.0,0.0,25.0
2020-03-26,2.0,346.0,1.0,59.0
2020-03-27,4.0,398.0,2.0,52.0
2020-03-28,5.0,441.0,1.0,43.0
2020-03-29,9.0,503.0,4.0,62.0
2020-03-30,10.0,576.0,1.0,73.0
2020-03-31,12.0,629.0,2.0,53.0
2020-04-01,17.0,689.0,5.0,60.0
2020-04-02,18.0,742.0,1.0,53.0
2020-04-03,22.0,789.0,4.0,47.0
2020-04-04,24.0,865.0,2.0,76.0
2020-04-05,29.0,935.0,5.0,70.0
2020-04-06,30.0,986.0,1.0,51.0
2020-04-07,34.0,1069.0,4.0,83.0
2020-04-08,39.0,1154.0,5.0,85.0
2020-04-09,50.0,1242.0,11.0,88.0
2020-04-10,57.0,1336.0,7.0,94.0
2020-04-11,64.0,1427.0,7.0,91.0
2020-04-12,70.0,1621.0,6.0,194.0
2020-04-13,70.0,1650.0,0.0,29.0
2020-04-14,79.0,1695.0,9.0,45.0
2020-04-15,87.0,1809.0,8.0,114.0
2020-04-16,94.0,1912.0,7.0,103.0
2020-04-17,111.0,2071.0,17.0,159.0
2020-04-18,121.0,2213.0,10.0,142.0
2020-04-19,134.0,2356.0,13.0,143.0
2020-04-20,143.0,2470.0,9.0,114.0
2020-04-21,160.0,2567.0,17.0,97.0
2020-04-22,179.0,2721.0,19.0,154.0
2020-04-23,200.0,2942.0,21.0,221.0
2020-04-24,221.0,3185.0,21.0,243.0
2020-04-25,244.0,3446.0,23.0,261.0
2020-04-26,272.0,3602.0,28.0,156.0
2020-04-27,286.0,3816.0,14.0,214.0
2020-04-28,301.0,4181.0,15.0,365.0
2020-04-29,319.0,4644.0,18.0,463.0
2020-04-30,343.0,5136.0,24.0,492.0
2020-05-01,371.0,5730.0,28.0,594.0
2020-05-02,395.0,6228.0,24.0,498.0
2020-05-03,419.0,6663.0,24.0,435.0
2020-05-04,428.0,7234.0,9.0,571.0
2020-05-05,455.0,7851.0,27.0,617.0
2020-05-06,485.0,8579.0,30.0,728.0
2020-05-07,508.0,9365.0,23.0,786.0
2020-05-08,534.0,10088.0,26.0,723.0
2020-05-09,558.0,10790.0,24.0,702.0
2020-05-10,578.0,11271.0,20.0,481.0
2020-05-11,591.0,11799.0,13.0,528.0
2020-05-12,614.0,12494.0,23.0,695.0
2020-05-13,638.0,12917.0,24.0,423.0
2020-05-15,727.6565656565657,12581.494949494949,,
2020-05-16,756.4242424242424,13018.494949494949,28.767676767676676,437.0
2020-05-17,785.1616161616162,13452.535353535353,28.737373737373787,434.0404040404046
2020-05-18,813.7575757575758,13882.868686868687,28.595959595959584,430.33333333333394
2020-05-19,842.2929292929293,14309.121212121212,28.53535353535358,426.2525252525247
2020-05-20,870.5656565656566,14730.545454545454,28.272727272727252,421.42424242424204
