Day,death_cnt,case_cnt,daily_death,daily_cases
2020-03-09,0.0,18.0,,
2020-03-10,0.0,19.0,0.0,1.0
2020-03-11,0.0,28.0,0.0,9.0
2020-03-12,0.0,32.0,0.0,4.0
2020-03-13,0.0,50.0,0.0,18.0
2020-03-14,0.0,77.0,0.0,27.0
2020-03-15,0.0,116.0,0.0,39.0
2020-03-16,4.0,141.0,4.0,25.0
2020-03-17,6.0,186.0,2.0,45.0
2020-03-18,7.0,314.0,1.0,128.0
2020-03-19,8.0,390.0,1.0,76.0
2020-03-20,10.0,520.0,2.0,130.0
2020-03-21,12.0,658.0,2.0,138.0
2020-03-22,13.0,830.0,1.0,172.0
2020-03-23,14.0,1171.0,1.0,341.0
2020-03-24,18.0,1412.0,4.0,241.0
2020-03-25,22.0,1682.0,4.0,270.0
2020-03-26,28.0,2355.0,6.0,673.0
2020-03-27,34.0,2765.0,6.0,410.0
2020-03-28,54.0,3763.0,20.0,998.0
2020-03-29,56.0,4246.0,2.0,483.0
2020-03-30,63.0,5473.0,7.0,1227.0
2020-03-31,77.0,6338.0,14.0,865.0
2020-04-01,87.0,6955.0,10.0,617.0
2020-04-02,128.0,8010.0,41.0,1055.0
2020-04-03,163.0,9585.0,35.0,1575.0
2020-04-04,191.0,11111.0,28.0,1526.0
2020-04-05,218.0,12151.0,27.0,1040.0
2020-04-06,236.0,13324.0,18.0,1173.0
2020-04-07,296.0,14747.0,60.0,1423.0
2020-04-08,309.0,15455.0,13.0,708.0
2020-04-09,354.0,16364.0,45.0,909.0
2020-04-10,390.0,17531.0,36.0,1167.0
2020-04-11,438.0,18494.0,48.0,963.0
2020-04-12,465.0,19355.0,27.0,861.0
2020-04-13,483.0,20601.0,18.0,1246.0
2020-04-14,537.0,21367.0,54.0,766.0
2020-04-15,609.0,22511.0,72.0,1144.0
2020-04-16,646.0,22897.0,37.0,386.0
2020-04-17,699.0,24119.0,53.0,1222.0
2020-04-18,754.0,25269.0,55.0,1150.0
2020-04-19,781.0,25996.0,27.0,727.0
2020-04-20,806.0,26660.0,25.0,664.0
2020-04-21,856.0,27495.0,50.0,835.0
2020-04-22,910.0,28309.0,54.0,814.0
2020-04-23,979.0,28832.0,69.0,523.0
2020-04-24,1031.0,30174.0,52.0,1342.0
2020-04-25,1075.0,30839.0,44.0,665.0
2020-04-26,1094.0,31528.0,19.0,689.0
2020-04-27,1101.0,32138.0,7.0,610.0
