Day,death_cnt,case_cnt,daily_death,daily_cases,std_case_cnt,std_death_cnt,std_daily_death,std_daily_cases
2020-03-11,0.0,216.0,,,0.0,0.0,0.0,0.0
2020-03-12,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,421.0,0.0,205.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,524.0,0.0,103.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,729.0,0.0,205.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,950.0,0.0,221.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,1700.0,0.0,750.0,0.0,0.0,0.0,0.0
2020-03-18,0.0,2382.0,0.0,682.0,0.0,0.0,0.0,0.0
2020-03-19,12.0,4152.0,12.0,1770.0,0.0,0.0,0.0,0.0
2020-03-20,35.0,7102.0,23.0,2950.0,0.0,0.0,0.0,0.0
2020-03-21,44.0,10356.0,9.0,3254.0,0.0,0.0,0.0,0.0
2020-03-22,114.0,15168.0,70.0,4812.0,0.0,0.0,0.0,0.0
2020-03-23,114.0,20875.0,0.0,5707.0,0.0,0.0,0.0,0.0
2020-03-24,210.0,25665.0,96.0,4790.0,0.0,0.0,0.0,0.0
2020-03-25,285.0,30811.0,75.0,5146.0,0.0,0.0,0.0,0.0
2020-03-26,385.0,37258.0,100.0,6447.0,0.0,0.0,0.0,0.0
2020-03-27,519.0,44635.0,134.0,7377.0,0.0,0.0,0.0,0.0
2020-03-28,728.0,52318.0,209.0,7683.0,0.0,0.0,0.0,0.0
2020-03-29,965.0,59513.0,237.0,7195.0,0.0,0.0,0.0,0.0
2020-03-30,1218.0,66497.0,253.0,6984.0,0.0,0.0,0.0,0.0
2020-03-31,1550.0,75795.0,332.0,9298.0,0.0,0.0,0.0,0.0
2020-04-01,1941.0,83712.0,391.0,7917.0,0.0,0.0,0.0,0.0
2020-04-02,2373.0,92381.0,432.0,8669.0,0.0,0.0,0.0,0.0
2020-04-03,2935.0,102863.0,562.0,10482.0,0.0,0.0,0.0,0.0
2020-04-04,3565.0,113704.0,630.0,10841.0,0.0,0.0,0.0,0.0
2020-04-05,4159.0,122031.0,594.0,8327.0,0.0,0.0,0.0,0.0
2020-04-06,4758.0,130689.0,599.0,8658.0,0.0,0.0,0.0,0.0
2020-04-07,5489.0,138863.0,731.0,8174.0,0.0,0.0,0.0,0.0
2020-04-08,6268.0,149316.0,779.0,10453.0,0.0,0.0,0.0,0.0
2020-04-09,7067.0,159937.0,799.0,10621.0,0.0,0.0,0.0,0.0
2020-04-10,7844.0,170512.0,777.0,10575.0,0.0,0.0,0.0,0.0
2020-04-11,8627.0,180458.0,783.0,9946.0,0.0,0.0,0.0,0.0
2020-04-12,9385.0,188694.0,758.0,8236.0,0.0,0.0,0.0,0.0
2020-04-13,10056.0,195031.0,671.0,6337.0,0.0,0.0,0.0,0.0
2020-04-14,10834.0,202208.0,778.0,7177.0,0.0,0.0,0.0,0.0
2020-04-15,11586.0,213779.0,752.0,11571.0,0.0,0.0,0.0,0.0
2020-04-16,12192.0,222284.0,606.0,8505.0,0.0,0.0,0.0,0.0
2020-04-17,12822.0,229642.0,630.0,7358.0,0.0,0.0,0.0,0.0
2020-04-18,13362.0,236732.0,540.0,7090.0,0.0,0.0,0.0,0.0
2020-04-19,13869.0,242786.0,507.0,6054.0,0.0,0.0,0.0,0.0
2020-04-20,14347.0,247512.0,478.0,4726.0,0.0,0.0,0.0,0.0
2020-04-21,14828.0,251690.0,481.0,4178.0,0.0,0.0,0.0,0.0
2020-04-22,15302.0,257216.0,474.0,5526.0,0.0,0.0,0.0,0.0
2020-04-23,15740.0,263460.0,438.0,6244.0,0.0,0.0,0.0,0.0
2020-04-24,16162.0,271590.0,422.0,8130.0,0.0,0.0,0.0,0.0
2020-04-25,16599.0,282143.0,437.0,10553.0,0.0,0.0,0.0,0.0
2020-04-26,16966.0,288045.0,367.0,5902.0,0.0,0.0,0.0,0.0
2020-04-27,17303.0,291996.0,337.0,3951.0,0.0,0.0,0.0,0.0
2020-04-28,17638.0,295106.0,335.0,3110.0,0.0,0.0,0.0,0.0
2020-04-29,18015.0,299691.0,377.0,4585.0,0.0,0.0,0.0,0.0
2020-04-30,18321.0,304372.0,306.0,4681.0,0.0,0.0,0.0,0.0
2020-05-01,18610.0,308314.0,289.0,3942.0,0.0,0.0,0.0,0.0
2020-05-02,18909.0,312977.0,299.0,4663.0,0.0,0.0,0.0,0.0
2020-05-03,19189.0,316415.0,280.0,3438.0,0.0,0.0,0.0,0.0
2020-05-04,19415.0,318953.0,226.0,2538.0,0.0,0.0,0.0,0.0
2020-05-05,19645.0,321192.0,230.0,2239.0,0.0,0.0,0.0,0.0
2020-05-06,19877.0,323978.0,232.0,2786.0,0.0,0.0,0.0,0.0
2020-05-07,20828.0,327649.0,951.0,3671.0,0.0,0.0,0.0,0.0
2020-05-08,21045.0,330407.0,217.0,2758.0,0.0,0.0,0.0,0.0
2020-05-09,21271.0,333122.0,226.0,2715.0,0.0,0.0,0.0,0.0
2020-05-10,21478.0,335395.0,207.0,2273.0,0.0,0.0,0.0,0.0
2020-05-11,21640.0,337055.0,162.0,1660.0,0.0,0.0,0.0,0.0
2020-05-12,21845.0,338485.0,205.0,1430.0,0.0,0.0,0.0,0.0
2020-05-13,22013.0,340661.0,168.0,2176.0,0.0,0.0,0.0,0.0
2020-05-14,22170.0,343051.0,157.0,2390.0,0.0,0.0,0.0,0.0
2020-05-15,22304.0,345813.0,134.0,2762.0,0.0,0.0,0.0,0.0
2020-05-16,20756.58585858586,315055.0303030303,,,46.99087005856369,46.7553402142461,66.122036244355,66.122036244355
2020-05-17,21017.161616161615,318641.42424242425,260.57575757575614,3586.39393939398,47.17286957468729,46.93642831020637,66.37813348564634,66.37813348564634
2020-05-18,21269.363636363636,322111.8787878788,252.20202020202123,3470.4545454545296,47.36019190097735,47.122812536129985,66.64172058575993,66.64172058575993
2020-05-19,21513.343434343435,325469.1313131313,243.9797979797986,3357.252525252523,47.552244548208904,47.313903371130465,66.91196383626281,66.91196383626281
2020-05-20,21749.18181818182,328715.70707070705,235.8383838383852,3246.5757575757452,47.748517490460124,47.50919334355569,67.18814556386202,67.18814556386202
2020-05-21,21976.969696969696,331854.2525252525,227.78787878787625,3138.5454545454704,47.948467567241984,47.70814201431015,67.46950147225908,67.46950147225908
