date,region,death_cnt,case_cnt,day_since100
2020-03-13,NY,0.0,421,0
2020-03-14,NY,0.0,524,1
2020-03-15,NY,0.0,729,2
2020-03-16,NY,0.0,950,3
2020-03-17,NY,0.0,1700,4
2020-03-18,NY,0.0,2382,5
2020-03-19,NY,0.0,4152,6
2020-03-20,NY,35.0,7102,7
2020-03-21,NY,44.0,10356,8
2020-03-22,NY,114.0,15168,9
2020-03-23,NY,114.0,20875,10
2020-03-24,NY,210.0,25665,11
2020-03-25,NY,285.0,30811,12
2020-03-26,NY,385.0,37258,13
2020-03-27,NY,519.0,44635,14
2020-03-28,NY,728.0,52318,15
2020-03-29,NY,965.0,59513,16
2020-03-30,NY,1218.0,66497,17
2020-03-31,NY,1550.0,75795,18
2020-04-01,NY,1941.0,83712,19
2020-04-02,NY,2373.0,92381,20
2020-04-03,NY,2935.0,102863,21
2020-04-04,NY,3565.0,113704,22
2020-04-05,NY,4159.0,122031,23
2020-04-06,NY,4758.0,130689,24
2020-04-07,NY,5489.0,138863,25
2020-04-08,NY,6268.0,149316,26
2020-04-09,NY,7067.0,159937,27
2020-04-10,NY,7844.0,170512,28
2020-04-11,NY,8627.0,180458,29
2020-04-12,NY,9385.0,188694,30
2020-04-13,NY,10056.0,195031,31
2020-04-14,NY,10834.0,202208,32
2020-04-15,NY,11586.0,213779,33
2020-04-16,NY,12192.0,222284,34
2020-04-17,NY,12822.0,229642,35
2020-04-18,NY,13362.0,236732,36
2020-04-19,NY,13869.0,242786,37
2020-04-20,NY,14347.0,247512,38
2020-04-21,NY,14828.0,251690,39
2020-04-22,NY,15302.0,257216,40
2020-04-23,NY,15740.0,263460,41
2020-04-24,NY,16162.0,271590,42
2020-04-25,NY,16599.0,282143,43
2020-04-26,NY,16966.0,288045,44
2020-04-27,NY,17303.0,291996,45
2020-04-28,NY,17638.0,295106,46
2020-04-29,NY,18015.0,299691,47
2020-04-30,NY,18321.0,304372,48
2020-05-01,NY,18610.0,308314,49
2020-05-02,NY,18909.0,312977,50
2020-05-03,NY,19189.0,316415,51
2020-05-04,NY,19415.0,318953,52
2020-05-05,NY,19645.0,321192,53
2020-05-06,NY,19877.0,323978,54
2020-05-07,NY,20828.0,327649,55
2020-05-08,NY,21045.0,330407,56
2020-05-09,NY,21271.0,333122,57
2020-05-10,NY,21478.0,335395,58
2020-05-11,NY,21640.0,337055,59
2020-05-12,NY,21845.0,338485,60
2020-05-13,NY,22013.0,340661,61
2020-05-14,NY,22170.0,343051,62
2020-05-15,NY,22304.0,345813,63
2020-05-16,NY,22304.0,345813,64
